IDRebaño;Raza;Categoria;t;prgest
1;7;2;121;0.08
1;7;2;122;0.08
1;7;2;123;0.08
1;7;2;124;0.08
1;7;2;125;0.08
1;7;2;126;0.08
1;7;2;127;0.08
1;7;2;128;0.08
1;7;2;129;0.08
1;7;2;130;0.08
1;7;2;131;0.08
1;7;2;132;0.08
1;7;2;133;0.08
1;7;2;134;0.08
1;7;2;135;0.08
1;7;2;136;0.08
1;7;2;137;0.08
1;7;2;138;0.08
1;7;2;139;0.08
1;7;2;140;0.08
1;7;2;141;0.08
1;7;2;142;0.08
1;7;2;143;0.08
1;7;2;144;0.08
1;7;2;145;0.08
1;7;2;146;0.08
1;7;2;147;0.08
1;7;2;148;0.08
1;7;2;149;0.08
1;7;2;150;0.08
1;7;2;151;0.08
1;7;2;486;0.08
1;7;2;487;0.08
1;7;2;488;0.08
1;7;2;489;0.08
1;7;2;490;0.08
1;7;2;491;0.08
1;7;2;492;0.08
1;7;2;493;0.08
1;7;2;494;0.08
1;7;2;495;0.08
1;7;2;496;0.08
1;7;2;497;0.08
1;7;2;498;0.08
1;7;2;499;0.08
1;7;2;500;0.08
1;7;2;501;0.08
1;7;2;502;0.08
1;7;2;503;0.08
1;7;2;504;0.08
1;7;2;505;0.08
1;7;2;506;0.08
1;7;2;507;0.08
1;7;2;508;0.08
1;7;2;509;0.08
1;7;2;510;0.08
1;7;2;511;0.08
1;7;2;512;0.08
1;7;2;513;0.08
1;7;2;514;0.08
1;7;2;515;0.08
1;7;2;516;0.08
1;7;2;851;0.08
1;7;2;852;0.08
1;7;2;853;0.08
1;7;2;854;0.08
1;7;2;855;0.08
1;7;2;856;0.08
1;7;2;857;0.08
1;7;2;858;0.08
1;7;2;859;0.08
1;7;2;860;0.08
1;7;2;861;0.08
1;7;2;862;0.08
1;7;2;863;0.08
1;7;2;864;0.08
1;7;2;865;0.08
1;7;2;866;0.08
1;7;2;867;0.08
1;7;2;868;0.08
1;7;2;869;0.08
1;7;2;870;0.08
1;7;2;871;0.08
1;7;2;872;0.08
1;7;2;873;0.08
1;7;2;874;0.08
1;7;2;875;0.08
1;7;2;876;0.08
1;7;2;877;0.08
1;7;2;878;0.08
1;7;2;879;0.08
1;7;2;880;0.08
1;7;2;881;0.08
1;7;2;1216;0.08
1;7;2;1217;0.08
1;7;2;1218;0.08
1;7;2;1219;0.08
1;7;2;1220;0.08
1;7;2;1221;0.08
1;7;2;1222;0.08
1;7;2;1223;0.08
1;7;2;1224;0.08
1;7;2;1225;0.08
1;7;2;1226;0.08
1;7;2;1227;0.08
1;7;2;1228;0.08
1;7;2;1229;0.08
1;7;2;1230;0.08
1;7;2;1231;0.08
1;7;2;1232;0.08
1;7;2;1233;0.08
1;7;2;1234;0.08
1;7;2;1235;0.08
1;7;2;1236;0.08
1;7;2;1237;0.08
1;7;2;1238;0.08
1;7;2;1239;0.08
1;7;2;1240;0.08
1;7;2;1241;0.08
1;7;2;1242;0.08
1;7;2;1243;0.08
1;7;2;1244;0.08
1;7;2;1245;0.08
1;7;2;1246;0.08
1;7;2;1581;0.08
1;7;2;1582;0.08
1;7;2;1583;0.08
1;7;2;1584;0.08
1;7;2;1585;0.08
1;7;2;1586;0.08
1;7;2;1587;0.08
1;7;2;1588;0.08
1;7;2;1589;0.08
1;7;2;1590;0.08
1;7;2;1591;0.08
1;7;2;1592;0.08
1;7;2;1593;0.08
1;7;2;1594;0.08
1;7;2;1595;0.08
1;7;2;1596;0.08
1;7;2;1597;0.08
1;7;2;1598;0.08
1;7;2;1599;0.08
1;7;2;1600;0.08
1;7;2;1601;0.08
1;7;2;1602;0.08
1;7;2;1603;0.08
1;7;2;1604;0.08
1;7;2;1605;0.08
1;7;2;1606;0.08
1;7;2;1607;0.08
1;7;2;1608;0.08
1;7;2;1609;0.08
1;7;2;1610;0.08
1;7;2;1611;0.08
1;7;2;1946;0.08
1;7;2;1947;0.08
1;7;2;1948;0.08
1;7;2;1949;0.08
1;7;2;1950;0.08
1;7;2;1951;0.08
1;7;2;1952;0.08
1;7;2;1953;0.08
1;7;2;1954;0.08
1;7;2;1955;0.08
1;7;2;1956;0.08
1;7;2;1957;0.08
1;7;2;1958;0.08
1;7;2;1959;0.08
1;7;2;1960;0.08
1;7;2;1961;0.08
1;7;2;1962;0.08
1;7;2;1963;0.08
1;7;2;1964;0.08
1;7;2;1965;0.08
1;7;2;1966;0.08
1;7;2;1967;0.08
1;7;2;1968;0.08
1;7;2;1969;0.08
1;7;2;1970;0.08
1;7;2;1971;0.08
1;7;2;1972;0.08
1;7;2;1973;0.08
1;7;2;1974;0.08
1;7;2;1975;0.08
1;7;2;1976;0.08
1;7;2;2311;0.08
1;7;2;2312;0.08
1;7;2;2313;0.08
1;7;2;2314;0.08
1;7;2;2315;0.08
1;7;2;2316;0.08
1;7;2;2317;0.08
1;7;2;2318;0.08
1;7;2;2319;0.08
1;7;2;2320;0.08
1;7;2;2321;0.08
1;7;2;2322;0.08
1;7;2;2323;0.08
1;7;2;2324;0.08
1;7;2;2325;0.08
1;7;2;2326;0.08
1;7;2;2327;0.08
1;7;2;2328;0.08
1;7;2;2329;0.08
1;7;2;2330;0.08
1;7;2;2331;0.08
1;7;2;2332;0.08
1;7;2;2333;0.08
1;7;2;2334;0.08
1;7;2;2335;0.08
1;7;2;2336;0.08
1;7;2;2337;0.08
1;7;2;2338;0.08
1;7;2;2339;0.08
1;7;2;2340;0.08
1;7;2;2341;0.08
1;7;3;121;0.05
1;7;3;122;0.05
1;7;3;123;0.05
1;7;3;124;0.05
1;7;3;125;0.05
1;7;3;126;0.05
1;7;3;127;0.05
1;7;3;128;0.05
1;7;3;129;0.05
1;7;3;130;0.05
1;7;3;131;0.05
1;7;3;132;0.05
1;7;3;133;0.05
1;7;3;134;0.05
1;7;3;135;0.05
1;7;3;136;0.05
1;7;3;137;0.05
1;7;3;138;0.05
