IDRebaño;Especie;Raza;Categoria;t;diay;cc
1;2;7;1;121;121;2.5
1;2;7;2;121;121;2.5
1;2;7;3;121;121;2.5
1;2;7;1;486;121;2.5
1;2;7;2;486;121;2.5
1;2;7;3;486;121;2.5
1;2;7;1;851;121;2.5
1;2;7;2;851;121;2.5
1;2;7;3;851;121;2.5
1;2;7;1;1216;121;2.5
1;2;7;2;1216;121;2.5
1;2;7;3;1216;121;2.5
1;2;7;1;1581;121;2.5
1;2;7;2;1581;121;2.5
1;2;7;3;1581;121;2.5
1;2;7;1;1946;121;2.5
1;2;7;2;1946;121;2.5
1;2;7;3;1946;121;2.5
1;2;7;1;2311;121;2.5
1;2;7;2;2311;121;2.5
1;2;7;3;2311;121;2.5
2;1;1;1;1;1;2.5
2;1;1;2;1;1;2.5
2;1;1;1;366;1;2.5
2;1;1;2;366;1;2.5
2;1;1;1;731;1;2.5
2;1;1;2;731;1;2.5
2;1;1;1;1096;1;2.5
2;1;1;2;1096;1;2.5
2;1;1;1;1461;1;2.5
2;1;1;2;1461;1;2.5
2;1;1;1;1826;1;2.5
2;1;1;2;1826;1;2.5
2;1;1;1;2191;1;2.5
2;1;1;2;2191;1;2.5
3;2;7;1;152;152;2.5
3;2;7;2;152;152;2.5
3;2;7;3;152;152;2.5
3;2;7;1;517;152;2.5
3;2;7;2;517;152;2.5
3;2;7;3;517;152;2.5
3;2;7;1;882;152;2.5
3;2;7;2;882;152;2.5
3;2;7;3;882;152;2.5
3;2;7;1;1247;152;2.5
3;2;7;2;1247;152;2.5
3;2;7;3;1247;152;2.5
3;2;7;1;1612;152;2.5
3;2;7;2;1612;152;2.5
3;2;7;3;1612;152;2.5
3;2;7;1;1977;152;2.5
3;2;7;2;1977;152;2.5
3;2;7;3;1977;152;2.5
3;2;7;1;2342;152;2.5
3;2;7;2;2342;152;2.5
3;2;7;3;2342;152;2.5
4;2;7;1;182;182;2.5
4;2;7;2;182;182;2.5
4;2;7;3;182;182;2.5
4;2;7;1;547;182;2.5
4;2;7;2;547;182;2.5
4;2;7;3;547;182;2.5
4;2;7;1;912;182;2.5
4;2;7;2;912;182;2.5
4;2;7;3;912;182;2.5
4;2;7;1;1277;182;2.5
4;2;7;2;1277;182;2.5
4;2;7;3;1277;182;2.5
4;2;7;1;1642;182;2.5
4;2;7;2;1642;182;2.5
4;2;7;3;1642;182;2.5
4;2;7;1;2007;182;2.5
4;2;7;2;2007;182;2.5
4;2;7;3;2007;182;2.5
4;2;7;1;2372;182;2.5
