IDRebaño;t;UP
1;121;2
1;121;3
1;121;5
1;121;12
1;122;2
1;122;3
1;122;5
1;122;12
1;123;2
1;123;3
1;123;5
1;123;12
1;124;2
1;124;3
1;124;5
1;124;12
1;125;2
1;125;3
1;125;5
1;125;12
1;126;2
1;126;3
1;126;5
1;126;12
1;127;2
1;127;3
1;127;5
1;127;12
1;128;2
1;128;3
1;128;5
1;128;12
1;129;2
1;129;3
1;129;5
1;129;12
1;130;2
1;130;3
1;130;5
1;130;12
1;131;2
1;131;3
1;131;5
1;131;12
1;132;2
1;132;3
1;132;5
1;132;12
1;133;2
1;133;3
1;133;5
1;133;12
1;134;2
1;134;3
1;134;5
1;134;12
1;135;2
1;135;3
1;135;5
1;135;12
1;136;2
1;136;3
1;136;5
1;136;12
1;137;2
1;137;3
1;137;5
1;137;12
1;138;2
1;138;3
1;138;5
1;138;12
1;139;2
1;139;3
1;139;5
1;139;12
1;140;2
1;140;3
1;140;5
1;140;12
1;141;2
1;141;3
1;141;5
1;141;12
1;142;2
1;142;3
1;142;5
1;142;12
1;143;2
1;143;3
1;143;5
1;143;12
1;144;2
1;144;3
1;144;5
1;144;12
1;145;2
1;145;3
1;145;5
1;145;12
1;146;2
1;146;3
1;146;5
1;146;12
1;147;2
1;147;3
1;147;5
1;147;12
1;148;2
1;148;3
1;148;5
1;148;12
1;149;2
1;149;3
1;149;5
1;149;12
1;150;2
1;150;3
1;150;5
1;150;12
1;151;2
1;151;3
1;151;5
1;151;12
1;152;2
1;152;3
1;152;5
1;152;12
1;153;2
1;153;3
1;153;5
1;153;12
1;154;2
1;154;3
1;154;5
1;154;12
1;155;2
1;155;3
1;155;5
1;155;12
1;156;2
1;156;3
1;156;5
1;156;12
1;157;2
1;157;3
1;157;5
1;157;12
1;158;2
1;158;3
1;158;5
1;158;12
1;159;2
1;159;3
1;159;5
1;159;12
1;160;2
1;160;3
1;160;5
1;160;12
1;161;2
1;161;3
1;161;5
1;161;12
1;162;2
1;162;3
1;162;5
1;162;12
1;163;2
1;163;3
1;163;5
1;163;12
1;164;2
1;164;3
1;164;5
1;164;12
1;165;2
1;165;3
1;165;5
1;165;12
1;166;2
1;166;3
1;166;5
1;166;12
1;167;2
1;167;3
1;167;5
1;167;12
1;168;2
1;168;3
1;168;5
1;168;12
1;169;2
1;169;3
1;169;5
1;169;12
1;170;2
1;170;3
1;170;5
1;170;12
1;171;2
1;171;3
1;171;5
1;171;12
1;172;2
1;172;3
1;172;5
1;172;12
1;173;2
1;173;3
1;173;5
1;173;12
1;174;2
1;174;3
1;174;5
1;174;12
1;175;2
1;175;3
1;175;5
1;175;12
1;176;2
1;176;3
1;176;5
1;176;12
1;177;2
1;177;3
1;177;5
1;177;12
1;178;2
1;178;3
1;178;5
1;178;12
1;179;2
1;179;3
1;179;5
1;179;12
1;180;2
1;180;3
1;180;5
1;180;12
1;181;2
1;181;3
1;181;5
1;181;12
1;182;2
1;182;3
1;182;5
1;182;12
1;183;2
1;183;3
1;183;5
1;183;12
1;184;2
1;184;3
1;184;5
1;184;12
1;185;2
1;185;3
1;185;5
1;185;12
1;186;2
1;186;3
1;186;5
1;186;12
1;187;2
1;187;3
1;187;5
1;187;12
1;188;2
1;188;3
1;188;5
1;188;12
1;189;2
1;189;3
1;189;5
1;189;12
1;190;2
1;190;3
1;190;5
1;190;12
1;191;2
1;191;3
1;191;5
1;191;12
1;192;2
1;192;3
1;192;5
1;192;12
1;193;2
1;193;3
1;193;5
1;193;12
1;194;2
1;194;3
1;194;5
1;194;12
1;195;2
1;195;3
1;195;5
1;195;12
1;196;2
1;196;3
1;196;5
1;196;12
1;197;2
1;197;3
1;197;5
1;197;12
1;198;2
1;198;3
1;198;5
1;198;12
1;199;2
1;199;3
1;199;5
1;199;12
1;200;2
1;200;3
1;200;5
1;200;12
1;201;2
1;201;3
1;201;5
1;201;12
1;202;2
1;202;3
1;202;5
1;202;12
1;203;2
1;203;3
1;203;5
1;203;12
1;204;2
1;204;3
1;204;5
1;204;12
1;205;2
1;205;3
1;205;5
1;205;12
1;206;2
1;206;3
1;206;5
1;206;12
1;207;2
1;207;3
1;207;5
1;207;12
1;208;2
1;208;3
1;208;5
1;208;12
1;209;2
1;209;3
1;209;5
1;209;12
1;210;2
1;210;3
1;210;5
1;210;12
1;211;2
1;211;3
1;211;5
1;211;12
1;212;2
1;212;3
1;212;5
1;212;12
1;213;2
1;213;3
1;213;5
1;213;12
1;214;2
1;214;3
1;214;5
1;214;12
1;215;2
1;215;3
1;215;5
1;215;12
1;216;2
1;216;3
1;216;5
1;216;12
1;217;2
1;217;3
1;217;5
1;217;12
1;218;2
1;218;3
1;218;5
1;218;12
1;219;2
1;219;3
1;219;5
1;219;12
1;220;2
1;220;3
1;220;5
1;220;12
1;221;2
1;221;3
1;221;5
1;221;12
1;222;2
1;222;3
1;222;5
1;222;12
1;223;2
1;223;3
1;223;5
1;223;12
1;224;2
1;224;3
1;224;5
1;224;12
1;225;2
1;225;3
1;225;5
1;225;12
1;226;2
1;226;3
1;226;5
1;226;12
1;227;2
1;227;3
1;227;5
1;227;12
1;228;2
1;228;3
1;228;5
1;228;12
1;229;2
1;229;3
1;229;5
1;229;12
1;230;2
1;230;3
1;230;5
1;230;12
1;231;2
1;231;3
1;231;5
1;231;12
1;232;2
1;232;3
1;232;5
1;232;12
1;233;2
1;233;3
1;233;5
1;233;12
1;234;2
1;234;3
1;234;5
1;234;12
1;235;2
1;235;3
1;235;5
1;235;12
1;236;2
1;236;3
