IDMancha;has;cob;UP;UI;inc
61;6.29;100;2;1;1
35;5.63;100;2;1;1
60;4.18;100;2;1;1
36;2.31;100;2;1;1
37;17.01;100;3;1;1
40;14.15;99;3;1;1
62;4.72;100;3;1;1
130;10.34;97;3;1;1
127;0.2;97;5;1;1
136;20.17;97;3;1;1
123;4.8;97;5;1;1
137;0.18;97;3;1;1
131;3.78;100;3;1;1
126;0.79;100;5;1;1
66;0.55;97;3;1;1
128;4.19;97;3;1;1
122;1.15;97;5;1;1
124;0.24;97;5;1;1
55;2.29;90;3;1;1
38;2.22;100;5;1;1
39;2.53;95;5;1;1
63;0.8;100;3;1;1
64;1.35;100;3;1;1
129;2.61;100;3;1;1
125;0.25;100;5;1;1
65;1.95;95;5;1;1
69;1.11;100;3;1;1
10;5;100;5;2;1
52;1.42;95;8;3;1
15;2.12;100;8;3;1
70;10.77;100;6;4;1
73;34.9;96;4;4;1
34;4.64;100;4;4;1
42;7.37;100;4;4;1
41;4.74;97;5;4;1
33;1.39;100;6;4;1
71;0.66;100;4;4;1
74;1.02;98;4;4;1
77;1.48;100;4;4;1
51;2.8;100;6;5;1
18;1.74;98;6;5;1
1;0.48;100;6;6;1
2;0.98;100;6;7;1
68;2.77;100;8;8;1
67;10.12;100;8;8;1
30;3.89;100;8;8;1
31;1.81;90;8;8;1
32;3.21;100;8;8;1
19;1.2;85;18;9;1
53;15.29;95;18;9;1
14;0.34;100;6;10;1
20;1.38;100;6;10;1
4;1.1;100;10;11;1
3;4.09;100;11;13;1
45;1.25;100;7;14;1
29;22.4;100;7;14;1
43;1.27;95;7;14;1
44;1.59;100;7;14;1
16;2.53;100;9;16;1
17;1.64;100;9;16;1
54;3.74;100;9;18;1
58;0.86;100;9;19;1
59;1.05;100;9;19;1
5;0.47;100;17;28;1
57;3.43;100;1;29;1
7;1.25;100;16;31;1
9;2.05;100;16;33;1
11;0.72;100;16;33;1
12;1.35;100;17;37;1
13;1.08;100;17;37;1
6;0.41;100;17;39;1
56;3.81;100;1;43;1
21;2.42;100;1;46;1
49;0.79;100;1;47;1
24;1.27;100;1;47;1
75;0.74;100;1;47;1
22;2.1;100;1;48;1
23;3.38;100;2;48;1
48;0.64;100;2;48;1
25;2.63;100;2;48;1
26;2.83;100;1;48;1
27;2.11;100;1;48;1
28;1.49;100;1;48;1
47;1.73;100;1;48;1
46;1.29;100;9;48;1
50;1.3;100;1;48;1
8;9.47;100;2;50;1
76;3.73;100;1;51;1
72;0.49;85;14;1012;0
121;3.83;90;12;1012;0
78;1.07;100;13;1012;0
79;17.95;100;12;1012;0
132;18.57;90;13;1012;0
135;17.55;90;14;1012;0
116;1.67;100;14;1012;0
133;2.61;100;13;1012;0
134;6.09;100;14;1012;0
87;7.51;95;60;1014;0
85;3.32;90;60;1014;0
86;2.88;100;60;1014;0
84;6.57;95;60;1014;0
100;3.52;90;60;1014;0
95;0.13;95;60;1014;0
96;0.12;95;60;1014;0
97;27.24;95;60;1014;0
91;6.34;90;60;1014;0
92;8.12;80;60;1014;0
93;0.53;100;60;1014;0
94;0.1;100;60;1014;0
90;0.18;100;60;1014;0
98;0.4;100;60;1014;0
99;3.06;100;60;1014;0
120;1.75;100;60;1014;0
117;2.3;90;60;1014;0
82;0.65;95;15;1013;0
83;3.76;95;15;1013;0
113;0.7;95;15;1013;0
81;3.02;100;15;1013;0
114;3.54;100;15;1013;0
112;2.5;95;15;1013;0
115;2.25;95;15;1013;0
118;18.59;100;15;1013;0
80;7.98;95;15;1013;0
109;2.38;100;15;1013;0
110;2.07;85;15;1013;0
107;2.82;90;15;1013;0
108;4.7;100;15;1013;0
111;5.03;100;15;1013;0
103;1.9;90;15;1013;0
106;3.28;100;15;1013;0
102;0.52;100;15;1013;0
104;3.52;100;15;1013;0
101;0.47;100;15;1013;0
119;2.4;85;15;1012;0
105;3.93;90;15;1013;0
88;0.23;100;15;1013;0
89;0.35;100;15;1013;0
138;1.41;100;60;55;0
139;1.39;96;19;56;0
140;1.29;100;20;57;0
