IDMancha;com;cobv
75;14;20
27;14;72
28;14;40
50;14;18
76;14;100
61;14;64
48;14;70
8;14;72
63;14;20
64;14;10
69;14;30
71;14;90
33;14;60
18;14;12
86;14;40
100;14;86
91;14;20
92;14;11
120;14;30
138;14;40
90;14;70
15;14;5
121;14;10
78;14;5
72;14;90
116;14;5
81;14;3
114;14;45
109;14;47
110;14;21
103;14;30
101;14;9
119;14;5
82;14;90
83;14;90
113;14;90
107;14;11
139;14;70
140;14;100
49;1;1
24;1;2
22;1;18
26;1;10
47;1;6
35;1;6
60;1;42
36;1;5
23;1;8
25;1;49
37;1;18
40;1;6
62;1;10
55;1;4
63;1;20
69;1;10
130;1;3
136;1;12
137;1;12
131;1;10
66;1;6
128;1;6
129;1;30
73;1;14
34;1;54
42;1;56
74;1;25
77;1;70
38;1;48
39;1;2
65;1;6
10;1;24
41;1;48
127;1;3
123;1;12
126;1;10
122;1;6
124;1;6
125;1;30
70;1;25
33;1;20
51;1;25
2;1;5
20;1;5
87;1;32
85;1;14
86;1;10
84;1;44
92;1;21
99;1;10
120;1;30
117;1;30
138;1;10
95;1;24
96;1;24
97;1;24
98;1;30
45;1;5
29;1;5
43;1;5
15;1;15
59;1;36
46;1;5
121;1;10
79;1;48
78;1;10
132;1;20
133;1;25
116;1;10
135;1;10
134;1;10
81;1;11
114;1;5
112;1;15
115;1;9
118;1;38
80;1;20
109;1;20
110;1;50
111;1;39
103;1;30
106;1;21
102;1;9
104;1;40
101;1;9
119;1;23
105;1;32
82;1;10
83;1;10
113;1;10
107;1;16
108;1;39
49;17;9
24;17;8
75;17;10
22;17;12
26;17;10
27;17;8
28;17;10
47;17;14
50;17;2
61;17;16
35;17;4
60;17;18
36;17;5
23;17;12
25;17;21
8;17;8
37;17;12
40;17;4
62;17;10
55;17;6
63;17;10
69;17;10
130;17;7
136;17;8
137;17;8
131;17;10
66;17;4
128;17;4
129;17;10
73;17;6
34;17;36
42;17;14
74;17;15
77;17;10
38;17;32
39;17;8
65;17;4
10;17;6
41;17;12
127;17;7
123;17;8
126;17;10
122;17;4
124;17;4
125;17;10
70;17;25
51;17;25
18;17;8
2;17;5
20;17;5
87;17;11
86;17;3
84;17;15
99;17;5
117;17;10
138;17;3
95;17;12
96;17;12
97;17;12
98;17;10
45;17;5
29;17;5
43;17;5
52;17;10
15;17;50
31;17;10
59;17;45
46;17;5
121;17;10
79;17;12
78;17;25
132;17;10
133;17;15
135;17;10
134;17;20
81;17;6
114;17;10
112;17;4
118;17;16
111;17;2
106;17;11
102;17;9
104;17;17
119;17;14
105;17;14
108;17;2
88;17;25
89;17;25
139;17;10
57;40;100
56;40;70
21;40;80
1;40;70
68;40;70
67;40;100
30;40;70
32;40;100
16;40;100
17;40;100
54;40;100
4;40;100
7;40;100
9;40;100
11;40;100
5;40;100
12;40;100
13;40;100
22;28;42
26;28;48
47;28;56
50;28;32
61;28;10
35;28;54
60;28;28
23;28;40
48;28;12
25;28;15
37;28;42
40;28;45
62;28;48
55;28;25
63;28;35
64;28;20
69;28;20
130;28;45
136;28;40
137;28;40
131;28;48
66;28;63
128;28;63
129;28;25
73;28;56
34;28;7
42;28;21
71;28;10
74;28;45
77;28;15
38;28;14
39;28;45
65;28;63
10;28;24
41;28;32
127;28;45
123;28;40
126;28;48
122;28;63
124;28;63
125;28;25
70;28;20
33;28;15
51;28;35
18;28;42
1;28;9
87;28;4
85;28;82
86;28;25
84;28;22
91;28;80
92;28;38
120;28;13
117;28;35
138;28;25
95;28;26
96;28;26
97;28;26
90;28;10
98;28;35
52;28;50
15;28;15
31;28;50
121;28;48
79;28;32
78;28;40
132;28;20
133;28;40
72;28;10
116;28;65
135;28;40
134;28;45
81;28;75
114;28;40
112;28;27
115;28;18
118;28;21
80;28;40
111;28;39
103;28;13
106;28;21
102;28;23
104;28;17
101;28;40
119;28;14
105;28;14
107;28;47
108;28;39
88;28;75
89;28;75
19;28;25
53;28;45
139;28;15
22;9;7
26;9;8
47;9;8
35;9;36
60;9;12
25;9;3
37;9;28
40;9;36
62;9;32
55;9;10
63;9;15
64;9;10
69;9;10
130;9;27
136;9;40
137;9;40
131;9;32
66;9;9
128;9;9
129;9;10
73;9;20
34;9;3
42;9;9
74;9;15
77;9;5
38;9;4
39;9;27
65;9;9
41;9;8
127;9;27
123;9;40
126;9;32
122;9;9
124;9;9
125;9;10
70;9;30
33;9;5
51;9;10
18;9;7
86;9;3
84;9;15
117;9;25
138;9;3
98;9;25
45;9;9
29;9;18
43;9;8
52;9;20
15;9;15
31;9;20
46;9;8
121;9;22
79;9;8
78;9;20
132;9;10
133;9;20
116;9;20
135;9;10
134;9;25
118;9;9
110;9;11
111;9;10
106;9;8
104;9;6
101;9;13
107;9;11
108;9;10
19;9;15
53;9;30
56;41;9
49;41;9
24;41;63
22;41;7
28;41;20
50;41;8
61;41;2
36;41;45
23;41;8
48;41;3
8;41;10
55;41;35
69;41;15
129;41;15
10;41;24
125;41;15
18;41;7
2;41;54
20;41;18
92;41;19
95;41;3
96;41;3
97;41;3
45;41;18
29;41;63
43;41;32
44;41;10
52;41;10
31;41;10
58;41;10
59;41;15
46;41;32
3;41;9
132;41;20
110;41;14
119;41;1
6;41;10
19;41;10
53;41;10
56;21;12
21;21;20
49;21;72
24;21;18
75;21;30
22;21;7
26;21;8
27;21;10
28;21;10
50;21;8
36;21;18
23;21;8
48;21;3
40;21;9
55;21;12
64;21;55
69;21;5
130;21;9
66;21;18
128;21;18
129;21;10
73;21;4
38;21;2
39;21;9
65;21;18
127;21;9
122;21;18
124;21;18
125;21;10
51;21;2.5
18;21;7
1;21;9
2;21;18
20;21;36
87;21;32
99;21;5
95;21;29
96;21;29
97;21;29
90;21;5
45;21;63
29;21;9
43;21;32
44;21;70
52;21;10
68;21;10
30;21;20
31;21;10
58;21;70
59;21;2
46;21;32
3;21;54
132;21;10
135;21;15
112;21;49
115;21;32
118;21;6
106;21;32
102;21;37
104;21;11
101;21;18
119;21;37
105;21;36
107;21;11
6;21;50
19;21;15
53;21;15
139;21;5
56;25;9
49;25;9
24;25;9
75;25;20
22;25;7
26;25;16
27;25;10
28;25;20
47;25;16
50;25;32
61;25;8
36;25;27
23;25;24
48;25;12
25;25;12
8;25;10
55;25;8
130;25;9
39;25;9
10;25;12
127;25;9
51;25;2.5
18;25;7
1;25;12
2;25;18
20;25;36
87;25;21
86;25;19
100;25;10
92;25;7
120;25;27
138;25;19
90;25;15
43;25;8
44;25;20
68;25;20
30;25;10
58;25;20
59;25;2
46;25;8
3;25;27
132;25;5
135;25;10
81;25;5
80;25;40
109;25;29
110;25;4
111;25;10
103;25;27
106;25;3
102;25;9
104;25;9
101;25;4
119;25;6
105;25;5
107;25;5
108;25;10
6;25;40
19;25;10
18;13;10
14;13;100
85;13;5
84;13;4
92;13;4
93;13;100
94;13;100
132;13;5
112;13;2
115;13;20
109;13;5
106;13;3
102;13;9
101;13;4
75;35;20
64;35;5
10;35;10
43;35;10
46;35;10
3;35;10
135;35;5
112;35;2.25
19;35;25
99;24;80
95;24;2.88
96;24;2.88
97;24;2.88
115;24;20
118;24;10
106;24;2
102;24;1
101;24;1.12
100;2;5
95;2;3
96;2;3
97;2;3
106;2;1
102;2;1
101;2;1.1
