Especie;Raza;Categoria;PV;ingmax;Nm;Nd;Nl;Ngest;fcr;fcs;EGKg;UGM;Kml1;Km2;Kl2;KG1;KG2
1;1;1;400;12.50;31.50;12.60;15.66;0.00;1.20;1.20;26.00;1.00;0.28;0.60;0.52;0.26;0.52
1;1;2;400;12.00;31.50;12.60;0.00;2.50;1.20;1.20;26.00;1.00;0.28;0.60;0.52;0.54;0.10
1;1;3;240;7.20;21.50;8.60;0.00;1.50;1.20;1.00;12.60;1.00;0.28;0.60;0.52;0.62;0.10
1;1;4;600;18.00;47.00;18.80;0.00;0.00;1.20;0.90;26.00;1.00;0.28;0.60;0.52;0.54;0.10
1;2;1;600;18.50;42.00;16.80;15.66;0.00;0.90;1.20;26.00;1.00;0.28;0.60;0.52;0.26;0.52
1;2;2;600;18.00;42.00;16.80;0.00;3.70;0.90;1.20;26.00;1.00;0.28;0.60;0.52;0.54;0.10
1;2;3;360;10.80;28.50;11.40;0.00;2.20;0.90;1.00;16.20;1.00;0.28;0.60;0.52;0.62;0.10
1;2;4;800;24.00;57.50;23.00;0.00;0.00;0.90;0.90;26.00;1.00;0.28;0.60;0.52;0.54;0.10
2;1;1;350;9.30;28.70;7.20;15.66;0.00;1.15;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;1;2;350;8.80;28.70;7.20;0.00;2.20;1.15;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;1;3;230;5.80;20.90;5.20;0.00;1.40;1.15;1.15;12.20;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;1;4;600;15.00;47.00;11.70;0.00;0.00;1.15;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;2;1;600;15.50;42.00;10.50;15.66;0.00;0.85;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;2;2;600;15.00;42.00;10.50;0.00;3.70;0.85;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;2;3;400;10.00;30.70;7.70;0.00;2.50;0.85;1.15;17.30;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;2;4;900;22.50;62.50;15.60;0.00;0.00;0.85;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;3;1;650;16.80;44.50;11.10;15.66;0.00;0.85;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;3;2;650;16.30;44.50;11.10;0.00;4.00;0.85;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;3;3;440;11.00;32.80;8.20;0.00;2.70;0.85;1.15;18.50;0.60;0.28;0.50;0.42;0.62;6.0e-03
