com;nombre_com;IDHL;xi;Topt;Tmin;Tmax;Rgmax;ProfR;p;ProdRef;RemV;RemM;RemD;prtvm;Norgl0;Norg0;Nmin0;Nres0;Sh0;Sh1;Fhs;t0;t1;St0;St1;Epr0;Epr1;Ek0;Ek1;Ebiom;ddcrec;falr;TNdescd;TNdescdl;TNdesch;TNMinmx;TNOrgmx;Npla;fmx;fmn;Dr;probH;ufmin;ufmax;Rar;D9243;necact
37;Siega_int;1;8.00;21.00;6.00;35.00;25.00;300.00;0.50;600.00;80.00;20.00;20.00;0.50;500.00;1.00;0.50;0.50;0.03;8.0e-03;0.40;-1.00;4.00;0.05;0.00;0.20;0.50;0.40;0.50;250.00;10000.00;2.0e-03;0.02;1.0e-03;0.05;0.02;5.0e-05;0.02;0.02;2.0e-03;0.02;0.80;0.30;0.70;0.35;no;productiv
38;Eup_pol;2;5.00;21.00;8.00;35.00;25.00;500.00;0.50;400.00;10.00;60.00;30.00;0.50;500.00;1.00;0.50;0.50;0.01;5.0e-03;0.30;-8.00;5.00;0.05;0.00;0.20;0.50;0.40;0.50;250.00;10000.00;2.0e-03;0.01;3.0e-03;0.05;0.01;5.0e-05;0.02;0.02;2.0e-03;0.02;0.50;0.10;0.40;0.45;no;sobreuso
39;Pru_spi;3;7.00;21.00;9.00;35.00;25.00;1500.00;0.50;250.00;0.10;0.10;20.00;0.50;500.00;1.00;0.50;0.50;5.0e-03;1.0e-03;0.20;5.00;9.00;0.05;0.00;0.20;0.50;0.40;0.50;300.00;1800.00;0.04;5.0e-03;4.0e-03;0.05;0.01;5.0e-05;0.01;0.04;0.04;0.02;0.50;0.10;0.40;0.50;no;abandono
40;Siega_ext;1;7.00;21.00;6.00;35.00;25.00;300.00;0.50;500.00;80.00;20.00;20.00;0.50;500.00;1.00;0.50;0.50;0.03;5.0e-03;0.30;-1.00;4.00;0.05;0.00;0.20;0.50;0.40;0.50;250.00;10000.00;2.0e-03;0.01;2.0e-03;0.05;0.02;5.0e-05;0.02;0.02;2.0e-03;0.02;0.80;0.30;0.60;0.45;si;No
1;Agr_cur;1;3.00;21.00;6.00;35.00;25.00;300.00;0.50;200.00;40.00;10.00;20.00;0.60;500.00;1.00;0.50;0.50;0.01;6.0e-03;0.70;-1.00;4.00;0.05;0.00;0.20;0.50;0.40;0.50;250.00;10000.00;2.0e-03;0.01;3.0e-03;0.05;0.01;2.5e-05;0.01;0.02;2.0e-03;0.02;0.60;0.20;0.60;0.45;no;No
2;Abedul;4;5.00;21.00;8.00;35.00;25.00;2000.00;0.50;400.00;0.10;0.10;20.00;0.50;500.00;1.00;0.50;0.50;5.0e-03;1.0e-03;0.20;4.00;8.00;0.05;0.00;0.20;0.50;0.40;0.50;400.00;1800.00;0.03;5.0e-03;4.0e-03;0.05;0.01;2.5e-05;0.01;0.03;0.03;0.02;0.30;0.00;0.20;0.50;si;No
3;Bra_pin;1;5.00;21.00;6.00;35.00;25.00;500.00;0.50;400.00;60.00;90.00;40.00;0.50;500.00;1.00;0.50;0.50;0.01;5.0e-03;0.30;-1.00;6.00;0.05;0.00;0.20;0.50;0.40;0.50;250.00;10000.00;2.0e-03;0.01;3.0e-03;0.05;0.01;5.0e-05;0.01;0.02;2.0e-03;0.02;0.60;0.20;0.50;0.45;no;abandono
4;Cal_vul;2;3.00;21.00;4.00;35.00;25.00;600.00;0.50;150.00;100.00;40.00;80.00;0.60;500.00;1.00;0.50;0.50;5.0e-03;2.0e-03;0.30;-5.00;3.00;0.05;0.00;0.20;0.50;0.40;0.50;300.00;10000.00;2.0e-03;1.0e-03;7.0e-03;0.05;0.01;2.5e-05;0.01;0.01;2.0e-03;0.02;0.30;0.10;0.30;0.50;si;No
5;Avellano;4;6.00;21.00;9.00;35.00;25.00;1500.00;0.50;500.00;0.10;0.10;20.00;0.50;500.00;1.00;0.50;0.50;5.0e-03;1.0e-03;0.20;5.00;9.00;0.05;0.00;0.20;0.50;0.40;0.50;500.00;1800.00;0.03;0.01;3.0e-03;0.05;0.01;2.5e-05;0.01;0.03;0.03;0.02;0.50;0.00;0.20;0.50;no;No
6;Cra_mon;4;7.00;21.00;9.00;35.00;25.00;1500.00;0.50;300.00;0.10;0.10;20.00;0.50;500.00;1.00;0.50;0.50;5.0e-03;1.0e-03;0.20;5.00;9.00;0.05;0.00;0.20;0.50;0.40;0.50;300.00;1800.00;0.04;0.01;3.0e-03;0.05;0.01;2.5e-05;0.01;0.04;0.04;0.02;0.70;0.00;0.20;0.50;no;No
