com2;Especie;DigV;DigM;Nv;Nm;Fantin;Mat
40;2;0.65;0.15;0.02;2.5e-03;1.00;0.00
40;3;0.65;0.15;0.02;2.5e-03;1.00;0.00
40;4;0.65;0.15;0.02;2.5e-03;1.00;0.00
39;1;0.45;0.15;0.01;2.5e-03;0.20;0.80
39;2;0.50;0.15;0.01;2.5e-03;0.20;0.80
39;3;0.50;0.15;0.01;2.5e-03;0.40;0.60
39;4;0.50;0.15;0.01;2.5e-03;0.50;0.40
38;1;0.45;0.20;0.02;2.5e-03;0.00;0.00
38;2;0.50;0.20;0.02;2.5e-03;0.01;0.00
38;3;0.60;0.30;0.02;2.5e-03;0.40;0.00
38;4;0.60;0.30;0.02;2.5e-03;0.50;0.00
1;1;0.50;0.15;0.01;2.5e-03;1.00;0.00
2;1;0.40;0.15;0.01;2.5e-03;0.01;1.00
3;1;0.40;0.15;0.01;2.5e-03;1.00;0.00
4;1;0.45;0.15;0.01;2.5e-03;0.00;0.00
5;1;0.50;0.15;0.01;2.5e-03;0.01;0.70
6;1;0.50;0.15;0.01;2.5e-03;0.01;0.00
7;1;0.65;0.15;0.02;2.5e-03;1.00;0.00
8;1;0.45;0.15;0.01;2.5e-03;0.00;0.90
9;1;0.45;0.15;0.01;2.5e-03;0.00;0.30
10;1;0.45;0.15;0.02;2.5e-03;0.20;0.90
11;1;0.45;0.15;0.02;2.5e-03;0.20;0.90
12;1;0.40;0.15;0.01;2.5e-03;1.00;0.90
13;1;0.45;0.15;0.01;2.5e-03;0.01;0.00
14;1;0.50;0.15;0.01;2.5e-03;1.00;0.00
15;1;0.45;0.15;0.01;2.5e-03;1.00;0.00
16;1;0.60;0.15;0.02;2.5e-03;1.00;0.00
17;1;0.35;0.15;0.01;2.5e-03;1.00;0.00
18;1;0.50;0.15;0.01;2.5e-03;1.00;0.00
19;1;1.00;0.15;0.01;2.5e-03;0.00;0.00
20;1;0.35;0.15;0.01;2.5e-03;1.00;0.00
21;1;0.50;0.15;0.01;2.5e-03;0.01;0.00
22;1;0.40;0.15;0.01;2.5e-03;0.01;0.80
